Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Oslo - Blindern;SN18700;05.01.2025 07:00;-14
Oslo - Blindern;SN18700;05.01.2025 08:00;-13,5
Oslo - Blindern;SN18700;05.01.2025 09:00;-13,5
Oslo - Blindern;SN18700;05.01.2025 10:00;-13,2
Oslo - Blindern;SN18700;05.01.2025 11:00;-12,3
Oslo - Blindern;SN18700;05.01.2025 12:00;-10,7
Oslo - Blindern;SN18700;05.01.2025 13:00;-10
Oslo - Blindern;SN18700;05.01.2025 14:00;-9,7
Oslo - Blindern;SN18700;05.01.2025 15:00;-9,2
Oslo - Blindern;SN18700;05.01.2025 16:00;-9
Oslo - Blindern;SN18700;05.01.2025 17:00;-8,8
Oslo - Blindern;SN18700;05.01.2025 18:00;-7,5
Oslo - Blindern;SN18700;05.01.2025 19:00;-7,3
Oslo - Blindern;SN18700;05.01.2025 20:00;-6,7
Oslo - Blindern;SN18700;05.01.2025 21:00;-6,3
Oslo - Blindern;SN18700;05.01.2025 22:00;-6,4
Oslo - Blindern;SN18700;05.01.2025 23:00;-6,6
Oslo - Blindern;SN18700;06.01.2025 00:00;-6,5
Oslo - Blindern;SN18700;06.01.2025 01:00;-6,5
Oslo - Blindern;SN18700;06.01.2025 02:00;-6,4
Oslo - Blindern;SN18700;06.01.2025 03:00;-6,2
Oslo - Blindern;SN18700;06.01.2025 04:00;-6,2
Oslo - Blindern;SN18700;06.01.2025 05:00;-6
Oslo - Blindern;SN18700;06.01.2025 06:00;-5,9
Oslo - Blindern;SN18700;06.01.2025 07:00;-5,7
Oslo - Blindern;SN18700;06.01.2025 08:00;-5,3
Oslo - Blindern;SN18700;06.01.2025 09:00;-5,2
Oslo - Blindern;SN18700;06.01.2025 10:00;-4,7
Oslo - Blindern;SN18700;06.01.2025 11:00;-4,3
Oslo - Blindern;SN18700;06.01.2025 12:00;-4
Oslo - Blindern;SN18700;06.01.2025 13:00;-3,4
Oslo - Blindern;SN18700;06.01.2025 14:00;-3,1
Oslo - Blindern;SN18700;06.01.2025 15:00;-2,5
Oslo - Blindern;SN18700;06.01.2025 16:00;-2,6
Oslo - Blindern;SN18700;06.01.2025 17:00;-2,4
Oslo - Blindern;SN18700;06.01.2025 18:00;-2,1
Oslo - Blindern;SN18700;06.01.2025 19:00;-2,2
Oslo - Blindern;SN18700;06.01.2025 20:00;-2,2
Oslo - Blindern;SN18700;06.01.2025 21:00;-2,2
Oslo - Blindern;SN18700;06.01.2025 22:00;-2,2
Oslo - Blindern;SN18700;06.01.2025 23:00;-1,8
Oslo - Blindern;SN18700;07.01.2025 00:00;-1,8
Oslo - Blindern;SN18700;07.01.2025 01:00;-1,6
Oslo - Blindern;SN18700;07.01.2025 02:00;-1,2
Oslo - Blindern;SN18700;07.01.2025 03:00;-1
Oslo - Blindern;SN18700;07.01.2025 04:00;-0,6
Oslo - Blindern;SN18700;07.01.2025 05:00;-0,1
Oslo - Blindern;SN18700;07.01.2025 06:00;-0,1
Oslo - Blindern;SN18700;07.01.2025 07:00;1
Oslo - Blindern;SN18700;07.01.2025 08:00;1,5
Oslo - Blindern;SN18700;07.01.2025 09:00;1,5
Oslo - Blindern;SN18700;07.01.2025 10:00;1,6
Oslo - Blindern;SN18700;07.01.2025 11:00;1,8
Oslo - Blindern;SN18700;07.01.2025 12:00;1,4
Oslo - Blindern;SN18700;07.01.2025 13:00;1,6
