"","x"
"1",53.9997265259494
"2",41.3720332955626
"3",1.84769995117699
"4",57.3787209155382
"5",31.6085951671603
"6",14.0824143943629
"7",38.8010906786868
"8",19.9490855321408
"9",-45.1772368251932
"10",-17.2983260603737
"11",30.1212185403547
"12",87.3124572472632
"13",1.25598790742924
"14",112.761521539556
"15",26.7271292634903
"16",-136.478882345826
"17",88.983436931375
"18",74.692682383072
"19",-46.2327543098932
"20",-36.1958603012923
"21",16.7167460530088
"22",6.80697954355401
"23",-48.6733023021143
"24",114.759542597644
"25",-61.6034905379947
"26",65.0953588387573
"27",43.5915558061712
"28",16.7329862761916
"29",32.846093359457
"30",23.4898693922746
"31",9.54955962287261
"32",-24.583745823105
"33",-104.447161251548
"34",-131.152368580064
"35",19.1140531701438
"36",-14.830137984675
"37",-48.7058447490712
"38",-491.093911045688
"39",65.9017007830996
"40",-65.1258061365478
"41",-55.8815726279126
"42",35.9561441095196
"43",182.122327681622
"44",49.0822516872398
"45",70.0549225163056
"46",-0.701335312320111
"47",24.7791768463156
"48",103.928763681902
"49",24.9750710541805
"50",-5.50439413449828
"51",28.7368317417253
"52",12.1350772053473
"53",-40.4738282050649
"54",-9.1473405490342
"55",-31.4911938429242
"56",-56.3650590593019
"57",-65.3463744802102
"58",-105.56888990423
"59",-344.240260611752
"60",-44.9799319427253
"61",-55.6112723986354
"62",80.2137035969675
"63",-48.4464799829942
"64",28.101803623612
"65",-33.3058019795771
"66",276.322331855838
"67",-49.2281258355741
"68",92.6350156662277
"69",-34.7146241907784
"70",34.3687769778429
"71",65.606175362273
"72",29.6918905337114
"73",24.6757971038797
"74",-6.95127442076216
"75",11.5617443933028
"76",24.4735263551144
"77",26.7412213808692
"78",11.5132890228064
"79",49.044640648765
"80",18.6433430128483
"81",7.72635638468864
"82",95.9653017267667
"83",111.398680591338
"84",21.5984924943101
"85",27.3655443694302
"86",116.485019446704
"87",-15.4498406335846
"88",-13.547420137328
"89",89.8657407178471
"90",-34.0147691343944
"91",-70.5337642013454
"92",-9.58654935163997
"93",68.7086460462982
"94",7.19798304825144
"95",-27.8316664967404
"96",26.2212374425897
"97",490.658038060794
"98",30.5710346242688
"99",19.2766099976556
"100",43.1236808691947
"101",43.9396845160721
"102",18.6546776987433
"103",39.5962039932301
"104",-15.8074087807829
"105",-76.8972383338842
"106",-69.9036242534273
"107",168.218380655542
"108",-52.6814215159702
"109",83.2975292662625
"110",82.149867996274
"111",3.85637906793318
"112",111.788058335444
"113",-26.1797018718041
"114",-35.6823364103035
"115",-52.5037558096623
"116",21.4147223847178
"117",58.0064082555983
"118",-1.68226617341384
"119",-6.01755252631961
"120",7.13057169115109
"121",35.8863579772172
"122",6.4324061312991
"123",-36.6770924033442
