"","model","RMSE","MAE"
"1","sarimax",101.204135157032,101.204135157032
"2","naive1",112.625852867025,66.2804192241379
"3","snaive24",267.990445379307,179.87247408046
"4","snaive168",344.207462370983,249.948664655172
