"","time","AvgTempNO1","Price_NOK","Energy","demand"
"80",2025-01-04 09:00:00,-12.02,1009.0352,4083140,6353.63
"81",2025-01-04 10:00:00,-12.32,1065.0992,4083140,6573.33
"82",2025-01-04 11:00:00,-12,1071.1728,4083140,6742.56
"83",2025-01-04 12:00:00,-10.48,1072.808,4083140,6756.8
"84",2025-01-04 13:00:00,-9.84,1044.0752,4083140,6727.53
"85",2025-01-04 14:00:00,-9.74,799.496,4083140,6697.57
"86",2025-01-04 15:00:00,-9.9,1088.6928,4083140,6646.7
"87",2025-01-04 16:00:00,-10.84,1410.1264,4083140,6668.22
"88",2025-01-04 17:00:00,-11.5,1339.8128,4083140,6768.6
"89",2025-01-04 18:00:00,-12.42,1685.7744,4083140,6788.44
"90",2025-01-04 19:00:00,-12.02,1315.9856,4083140,6877.25
"91",2025-01-04 20:00:00,-12.7,1253.1472,4083140,6935.95
"92",2025-01-04 21:00:00,-13.16,1104.4608,4083140,6788.95
"93",2025-01-04 22:00:00,-14.04,1081.3344,4083140,6633.76
"94",2025-01-04 23:00:00,-14.2,699.9824,4083140,6579.87
"95",2025-01-05,-13.82,587.3872,4083140,6481.16
"96",2025-01-05 01:00:00,-14.16,532.024,4083140,6379.78
"97",2025-01-05 02:00:00,-14.92,535.9952,4083140,6251.66
"98",2025-01-05 03:00:00,-15,544.4048,4083140,6120.83
"99",2025-01-05 04:00:00,-15.26,560.1728,4083140,6131.22
"100",2025-01-05 05:00:00,-14.94,638.6624,4083140,6123.5
"101",2025-01-05 06:00:00,-14.92,653.0288,4083140,6168.73
"102",2025-01-05 07:00:00,-14.62,780.224,4083140,6250.46
"103",2025-01-05 08:00:00,-14.98,800.8976,4083140,6337.12
"104",2025-01-05 09:00:00,-14.74,831.7328,4083140,6496.18
"105",2025-01-05 10:00:00,-14.36,873.5472,4083140,6673.9
"106",2025-01-05 11:00:00,-13.82,825.0752,4083140,6844.01
